54	N11158 N15069 N15407 N18669 N20528 	N22889 N25873 N19570 N24571	1 1 0 0
55	N11655 N13744 N13866 N13904 	N15542 N25015 N11018 N1731	1 1 0 0
56	N19268 	N22889 N25664 N12064 N10734	1 1 0 0
57	N3905 	N5865 N14280 N14803 N22302	1 1 0 0
58	N12011 	N19383 N20163 N1418 N21628	1 1 0 0
59	N3056 N12099 	N15914 N21021 N15412 N22927	1 1 0 0
60	N2182 N2783 N6015 N6990 N11402 N12086 N17549 N20078 N20653 N23781 	N23849 N24527 N23668 N12938	1 1 0 0
61	N1973 N5079 N5279 	N10245 N14820 N2280 N10447	1 1 0 0
62	N1835 N2278 N9222 N12452 N16086 N17691 	N19302 N22065 N14340 N20134	1 1 0 0
63	N455 N6150 N9222 N17487 	N19483 N20966 N21336 N10906	1 1 0 0
64	N5427 	N18130 N19209 N1544 N13690	1 1 0 0
65	N1046 N15542 N19754 	N22119 N24983 N13494 N7683	1 1 0 0
66	N605 N1231 N1341 N1432 N2009 N3077 N3264 N3316 N4080 N4225 N4552 N5302 N5582 N5611 N5816 N5829 N6071 N6674 N6768 N7091 N7251 N7981 N8425 N8576 N8645 N8971 N9426 N9601 N9840 N11027 N11034 N11387 N11719 N11787 N12001 N12741 N12893 N13358 N13505 N13506 N13777 N14093 N14102 N14371 N15019 N15826 N15911 N16235 N16312 N16343 N16405 N16544 N17487 N17612 N17846 N17865 N18021 N18166 N18526 N18538 N18910 N19073 N19257 N19486 N19522 N20042 N20311 N20511 N20541 N20695 N20817 N20859 N20882 N21144 N21324 N21341 N21524 N22191 N22566 N22804 N22874 N22963 N23300 N23552 N24361 N24364 N24384 N24694 N25120 N25185 N25210 N25439 	N25455 N25838 N8256 N21318	1 1 0 0
67	N6705 N13234 	N18342 N18667 N4302 N7837	1 1 0 0
68	N5875 N16338 	N17790 N23466 N9357 N22065	1 1 0 0
69	N34 	N2638 N9190 N13151 N15181	1 1 0 0
70	N3131 	N15163 N22889 N12898 N12801	1 1 0 0
71	N4397 N7083 N13881 	N15829 N24395 N3349 N23624	1 1 0 0
72	N12925 	N13317 N22923 N1926 N6711	1 1 0 0
73	N3947 N9222 N15094 N16408 N18876 N19381 	N22094 N24401 N3296 N549	1 1 0 0
74	N1823 N4483 N5474 N5582 N6260 N8419 N9234 N10467 N13144 N13948 N16544 N19715 N19921 N19980 N20202 N20817 N23356 	N25084 N25555 N7867 N14476	1 1 0 0
75	N3668 N6016 N9104 N10920 	N16227 N19804 N5129 N22041	1 1 0 0
76	N2099 N6609 N11095 	N13278 N16260 N19825 N6887	1 1 0 0
77	N2679 N6573 N6916 N9270 N9947 N14290 N14422 N14814 N15893 N16496 N16566 N18827 N18918 N18969 N20033 N22027 N22614 	N23052 N25294 N18631 N11168	1 1 0 0
78	N249 N4441 N4558 N10671 N10675 N11817 N13481 N14500 N15914 N16046 N16915 N18152 N20662 N21765 	N22008 N23242 N22715 N6943	1 1 0 0
79	N672 N2478 	N2533 N16625 N13717 N21953	1 1 0 0
80	N16140 N21331 	N21377 N25448 N3500 N5416	1 1 0 0
81	N7374 N16125 	N16142 N24407 N5523 N5074	1 1 0 0
82	N17784 	N22340 N24939 N12682 N25847	1 1 0 0
83	N9601 N15649 	N18822 N23593 N3638 N21062	1 1 0 0
84	N5313 	N8020 N10694 N102 N24901	1 1 0 0
85	N545 N2822 	N14669 N25685 N22582 N6374	1 1 0 0
86	N715 	N3982 N17487 N15656 N21573	1 1 0 0
87	N2581 N4358 N5783 N12219 N12925 N14641 N14942 N15010 N17351 N20651 N21206 	N21214 N25494 N18013 N25670	1 1 0 0
88	N3690 	N12541 N21647 N17445 N3730	1 1 0 0
89	N3176 N3191 N6706 N7652 N10800 N14788 N15053 N16862 N20138 	N22036 N25477 N14296 N15733	1 1 0 0
90	N400 	N1339 N21938 N4084 N19229	1 1 0 0
91	N273 N5484 N17710 	N18981 N23598 N7124 N18038	1 1 0 0
92	N1203 N1269 N1374 N1423 N3340 N5180 N5477 N6805 N9579 N9658 N10224 N10303 N11135 N15688 N19077 N19078 N19349 N20245 	N22495 N22570 N15439 N17866	1 1 0 0
93	N6445 N18532 	N22079 N23799 N16234 N7185	1 1 0 0
94	N3025 N6292 	N20586 N23222 N23003 N24584	1 1 0 0
95	N2378 N4533 N5222 N6226 N9992 N11129 N12025 	N14094 N16496 N10050 N15647	1 1 0 0
96	N233 N1684 N2105 N5340 N5344 N5673 N8383 N10699 	N22233 N23879 N23598 N5687	1 1 0 0
97	N2378 	N10324 N23513 N13227 N5924	1 1 0 0
98	N7650 	N16694 N17487 N21628 N8349	1 1 0 0
99	N3702 N5558 N14777 	N17964 N17983 N11239 N3072	1 1 0 0
100	N4013 N5672 N22048 	N22200 N24621 N16094 N11955	1 1 0 0
101	N54 N95 N138 N153 N448 N582 N689 N690 N715 N1655 N1810 N1814 N2248 N2398 N2478 N2491 N2518 N2571 N2791 N2920 N3187 N3886 N4196 N4270 N4493 N4594 N4610 N5560 N5926 N6038 N6053 N6674 N6700 N6977 N6988 N7856 N8046 N8257 N8503 N8604 N8616 N8838 N9222 N9368 N9468 N9495 N9953 N10304 N10817 N10913 N11118 N11175 N11423 N11454 N12076 N12145 N12475 N12514 N12550 N12646 N12732 N13122 N13207 N13257 N13303 N13358 N13599 N13712 N14476 N14666 N15184 N15328 N15429 N15526 N15868 N16005 N16351 N16694 N16763 N17369 N17373 N17446 N17487 N17539 N17895 N18232 N18247 N18370 N19590 N19659 N19980 N20760 N21076 N21681 N22056 N22183 N22228 N22375 N22428 N23592 N24398 N24781 N24856 N25147 N25185 	N25418 N25940 N20953 N1211	1 1 0 0
102	N9299 N16348 	N23639 N25873 N17592 N3029	1 1 0 0
103	N3988 	N10011 N25015 N2443 N2570	1 1 0 0
104	N2543 N4501 N7325 N10021 N14007 	N16003 N19333 N12178 N18856	1 1 0 0
105	N14744 	N14746 N21041 N15151 N13532	1 1 0 0
106	N6205 	N13320 N23832 N3908 N13221	1 1 0 0
107	N891 	N14005 N18328 N5600 N2536	1 1 0 0
108	N1338 N1392 N6148 N7556 N12552 N12627 N18981 N19224 	N23945 N24888 N12531 N6180	1 1 0 0
109	N9095 N12091 N12709 N13079 N15629 	N21314 N21759 N14640 N686	1 1 0 0
110	N131 	N7181 N8234 N23281 N18795	1 1 0 0
111	N8145 N9348 N12309 N16187 N16320 N19051 N19052 	N25576 N25879 N8045 N14497	1 1 0 0
112	N7302 N15054 	N21732 N22029 N22159 N11387	1 1 0 0
113	N628 N1212 N3693 N3762 N10502 N11040 N11577 N15089 N17308 	N19808 N23358 N4941 N15173	1 1 0 0
114	N8363 N9455 N21585 	N25418 N25463 N22951 N25777	1 1 0 0
115	N2035 N8578 N9241 N10171 N12474 N14669 N14722 N15050 N16495 N16983 N18446 	N19744 N20871 N17435 N19484	1 1 0 0
116	N1650 N1857 N7968 N14561 N16524 	N21483 N25085 N10297 N3119	1 1 0 0
117	N3507 N4985 N9289 	N18622 N23750 N11085 N5518	1 1 0 0
118	N60 N99 N1474 N2671 N2791 N3117 N3792 N4245 N4395 N4989 N5527 N7430 N7939 N9532 N10324 N10390 N10884 N10909 N11743 N11776 N12132 N12676 N12743 N12790 N13636 N14364 N14366 N14544 N14548 N15029 N15202 N15615 N15767 N15977 N16732 N17079 N18220 N18257 N19065 N19337 N20918 N21125 N21482 N21504 N21964 N22026 N22054 N22905 N23337 N23472 N23740 N23749 N24062 N24288 N24540 	N25060 N25932 N8203 N10545	1 1 0 0
119	N775 N1836 	N3476 N21144 N14387 N12291	1 1 0 0
120	N2156 N3418 N3959 N3989 N4200 N7784 N15833 N19785 N20099 N22119 N22889 N23339 N24131 N25103 	N25707 N25873 N13556 N10801	1 1 0 0
121	N13474 	N17818 N22127 N17518 N2311	1 1 0 0
122	N1634 N2525 N2671 N2943 N3927 N4167 N5244 N6945 N7874 N8290 N9132 N11257 N13136 N15228 N15515 N16793 N16914 N18887 N23058 N23646 	N24142 N25236 N20101 N14659	1 1 0 0
123	N16815 N17954 	N21920 N25285 N19852 N14634	1 1 0 0
124	N2320 N15286 	N22903 N24456 N23136 N20680	1 1 0 0
125	N400 N10989 	N10990 N21366 N22526 N6457	1 1 0 0
126	N6477 N7479 	N10392 N19543 N4203 N22921	1 1 0 0
127	N4530 N4538 N5590 N6928 N7584 N7820 N8745 N9683 N9976 N11237 N13456 N14951 N15206 N16371 N16789 N17864 N19018 	N19067 N20803 N14135 N19817	1 1 0 0
128	N5548 	N12025 N16311 N19866 N25058	1 1 0 0
129	N57 N4691 N16384 N18754 	N19744 N23261 N15524 N23531	1 1 0 0
130	N629 N631 N7364 	N7365 N12486 N45 N13250	1 1 0 0
131	N6916 N9571 N14450 N17881 N18978 N20775 	N24142 N24553 N13784 N5064	1 1 0 0
132	N5009 N6112 N9911 	N10069 N21827 N5954 N25297	1 1 0 0
133	N1063 N4888 N8903 N12383 N16876 N18761 N20394 	N24601 N25484 N17316 N9500	1 1 0 0
134	N1544 N1782 N9194 N10474 N13861 N13975 N19470 N22868 N25539 	N25633 N25651 N1552 N22505	1 1 0 0
135	N6742 N12922 	N13672 N18498 N11751 N4534	1 1 0 0
136	N5601 N8466 N10424 N12008 N17626 N17768 N18003 N20682 N22003 N23175 N23558 	N23586 N25886 N24292 N21973	1 1 0 0
137	N3131 N3315 N9648 	N11160 N20188 N1825 N23128	1 1 0 0
138	N1234 N4782 N5486 N8418 N10267 N13627 N16600 N17574 N17703 N21613 N24030 	N24668 N25890 N6544 N8357	1 1 0 0
139	N19590 	N20653 N24398 N20122 N2309	1 1 0 0
140	N516 N2571 N3135 N4352 N14933 	N19590 N19659 N280 N12797	1 1 0 0
141	N12470 	N18712 N21590 N11791 N8941	1 1 0 0
142	N10671 N15214 N15914 N17748 N18064 	N18527 N24819 N5873 N5088	1 1 0 0
143	N1186 N11349 N17487 	N22939 N25448 N5298 N4311	1 1 0 0
144	N1744 N6664 N14863 N15914 N16208 N18765 	N20373 N21929 N19445 N17355	1 1 0 0
145	N13970 N20076 	N23300 N25477 N16186 N20972	1 1 0 0
146	N758 N4483 N4795 N7242 N7619 N8172 N8576 N13044 N13524 N15290 N18630 N24191 	N25295 N25812 N12784 N3187	1 1 0 0
147	N1573 N3287 N4660 	N5788 N21644 N19416 N21542	1 1 0 0
148	N5288 	N14861 N24013 N25122 N24859	1 1 0 0
149	N5262 N9936 N20593 	N23043 N24329 N16008 N5964	1 1 0 0
150	N35 N1423 N4539 N5602 N6168 N6774 N10930 N13409 N15388 N17924 N19027 N21256 N23573 N23936 N24116 N24511 	N24978 N25397 N9710 N21327	1 1 0 0
151	N157 N309 N467 N512 N603 N753 N1101 N1278 N1294 N1525 N1560 N1754 N1935 N1952 N2513 N2926 N2940 N3250 N3441 N4270 N5092 N5232 N5330 N5365 N5481 N5821 N6062 N6107 N6687 N6892 N6988 N7159 N7324 N7593 N7776 N7868 N7947 N8058 N8397 N8497 N8510 N8704 N8890 N9076 N9153 N9157 N9269 N9417 N9743 N9859 N10139 N10273 N10469 N10538 N11004 N11023 N11527 N11556 N11561 N12133 N12183 N12212 N12254 N12290 N12652 N13052 N13053 N13106 N13152 N13245 N13403 N14236 N14386 N14437 N14583 N14866 N15018 N15028 N15084 N15141 N15345 N15563 N15668 N15928 N16153 N16358 N16539 N16601 N16629 N16677 N16768 N17318 N17685 N18016 N18059 N18770 N19143 N19317 N19479 N19596 N19613 N19688 N20059 N20298 N20364 N20481 N20491 N20838 N21056 N21323 N21481 N21839 N22137 N22197 N22421 N22689 N23177 N23183 N23184 N23316 N23327 N23462 N23531 N23549 N23562 N23915 N23972 N24658 	N25510 N25856 N1957 N22434	1 1 0 0
152	N78 N2863 N3864 N4012 N5063 N5510 N7245 N8536 N12456 N21191 	N21852 N21895 N13607 N19166	1 1 0 0
153	N9741 	N12714 N19774 N16599 N7544	1 1 0 0
154	N7621 N8665 	N19485 N23383 N3041 N23768	1 1 0 0
155	N11510 N13784 N14451 	N21305 N23485 N18602 N7309	1 1 0 0
156	N3892 N10503 N11934 N16890 N20859 N22233 N23368 	N24199 N25225 N6459 N22646	1 1 0 0
157	N400 N2478 N8865 N17068 	N21005 N22889 N14739 N21222	1 1 0 0
158	N3469 	N17802 N21199 N7439 N16351	1 1 0 0
159	N984 N1046 N9567 N12730 N15615 N16474 N16958 N17239 N18765 N21170 N21271 	N22601 N23337 N20206 N18166	1 1 0 0
160	N2581 N3074 N8400 N9705 	N16050 N25354 N4615 N16541	1 1 0 0
161	N138 N4936 N8803 N9495 N9864 N9865 N10942 N12541 N15615 N16876 N17487 	N22889 N23945 N20169 N20959	1 1 0 0
162	N944 N1193 N1610 N3041 N3084 N3269 N3989 N4200 N5960 N5982 N6198 N6333 N6387 N8495 N8764 N8859 N10563 N12335 N13036 N13113 N13533 N15307 N15697 N15980 N16625 N18608 N18720 N19014 N19888 N20000 N20936 N21564 N21718 N23351 N23507 N23832 	N25189 N25645 N20794 N20337	1 1 0 0
163	N1012 N8924 	N16941 N18846 N10115 N8874	1 1 0 0
164	N2486 N15865 	N18019 N23023 N1022 N11477	1 1 0 0
165	N16573 	N21147 N25897 N13530 N266	1 1 0 0
166	N660 N8628 N11412 N12340 N12589 	N17814 N19501 N8610 N14161	1 1 0 0
167	N368 N726 N905 N1787 N1891 N2258 N2456 N2783 N3262 N3602 N4848 N5174 N5420 N5488 N5522 N5754 N6086 N6354 N6586 N6706 N6774 N6822 N6833 N6874 N7189 N7291 N7861 N8041 N8531 N9044 N9905 N10097 N10156 N10874 N11888 N12043 N12758 N14541 N14683 N14731 N15191 N15411 N15628 N16443 N16686 N16710 N16714 N16826 N17275 N17778 N17969 N18007 N18453 N18541 N19406 N20070 N20121 N20407 N21170 N22124 N22185 N22601 N22818 N23330 N23468 N23843 N23992 N24045 N24219 N24861 N24863 N25214 	N25555 N25822 N5866 N10342	1 1 0 0
168	N3573 	N5214 N16496 N1559 N7372	1 1 0 0
169	N1046 N2002 N3135 N4296 N4970 N5105 N5750 N9567 N10805 N12335 N14605 N16334 N16914 N21688 	N22167 N25643 N15299 N16618	1 1 0 0
170	N16065 	N20595 N25368 N23300 N24584	1 1 0 0
171	N5176 N6389 N8687 N9222 N9472 N9908 N11211 N12273 N14379 N15477 N15728 N16413 N17860 N18571 N19111 N19633 N20246 N20330 N22516 N22646 N22889 N23967 	N24280 N24879 N7362 N2811	1 1 0 0
172	N2120 	N16694 N20079 N20121 N19128	1 1 0 0
173	N104 N707 N1000 N1823 N2737 N2958 N4261 N5613 N5632 N6066 N7845 N8419 N9192 N9242 N9431 N12679 N13130 N13854 N14831 N16482 N17487 N18737 N20285 N20541 N21710 N21762 N21797 N21957 N23668 	N24751 N25011 N22801 N20181	1 1 0 0
174	N10550 N17924 	N21765 N23242 N20490 N19822	1 1 0 0
175	N1284 N2051 N2177 N2719 N3309 N5065 N5611 N6990 N7031 N8608 N9601 N10306 N11953 N12463 N12982 N14154 N16210 N16264 N16314 N16942 N18099 N19010 N21156 N21169 N22233 N22685 N24773 N24989 N25225 	N25521 N25903 N7462 N22481	1 1 0 0
176	N3016 N4873 N4936 N6336 N6641 N9571 N13465 N13594 N13700 N14688 N14700 N21578 	N21755 N24142 N6302 N10737	1 1 0 0
177	N5358 	N15798 N20962 N3040 N10537	1 1 0 0
178	N1927 N5240 N5678 N9727 N15407 N15426 	N18856 N19892 N19607 N25777	1 1 0 0
179	N786 N11456 N11866 N12112 	N12713 N24377 N22434 N12094	1 1 0 0
180	N1897 N18977 N20538 	N23507 N25015 N16642 N13568	1 1 0 0
181	N1209 N3121 N6870 N7652 N7892 N13957 N14530 N16474 N19785 N19865 N20576 N21699 N23466 	N24820 N25555 N523 N8351	1 1 0 0
182	N10117 N11000 N13910 N17239 	N22889 N25664 N4873 N8077	1 1 0 0
183	N258 N792 N931 N1434 N2450 N3051 N3986 N4006 N4487 N5096 N5098 N5904 N5938 N6415 N8756 N8888 N9206 N9448 N10145 N10189 N10548 N10577 N10634 N11423 N11540 N12088 N12114 N13388 N13601 N13907 N14358 N14539 N16489 N16973 N16975 N17806 N18393 N18510 N20377 N20395 N20588 N21283 N21490 N21652 N21653 N22070 N22228 N22235 N22428 N23254 N24224 N25117 	N25221 N25260 N11529 N21529	1 1 0 0
184	N8625 N9903 N10097 N13036 N13326 	N14757 N16705 N8503 N23645	1 1 0 0
185	N10815 N20095 N20646 N21895 N22246 	N22480 N24278 N1228 N12448	1 1 0 0
186	N9004 N14057 	N14269 N21223 N17095 N4677	1 1 0 0
187	N835 N2209 N3382 N7261 N12978 N15852 N18580 	N22419 N24127 N21501 N21608	1 1 0 0
188	N715 N2172 N2379 N2398 N8552 N8992 N9222 N13666 N19355 N21238 N21536 	N24561 N24792 N13958 N2795	1 1 0 0
189	N310 N2675 N5570 N5721 N6930 N8079 N8274 N9297 N9796 N9961 N10675 N16694 N19169 N21521 N23405 N24448 N25198 	N25372 N25472 N17208 N6600	1 1 0 0
190	N4010 N4012 N4590 N5510 N6350 N10302 N10340 N10896 N12619 N13765 N15166 N15167 N15984 N17270 N19082 N23669 	N25465 N25886 N21443 N295	1 1 0 0
191	N1157 N1910 N4786 N6175 N7330 N11239 N11843 	N14525 N19510 N24286 N2844	1 1 0 0
192	N1150 N1957 N4258 N9521 N13396 N14287 N16226 N19049 N22263 N22830 	N24264 N25241 N25626 N8502	1 1 0 0
193	N411 N849 N5422 N6356 N12508 	N13275 N25151 N690 N7838	1 1 0 0
194	N3604 N8687 	N16413 N24780 N16246 N15116	1 1 0 0
195	N13599 N16694 	N17487 N19883 N12896 N16249	1 1 0 0
196	N273 N340 N770 N898 N1236 N1293 N1434 N1491 N2248 N2478 N2833 N3251 N3262 N3413 N3540 N4937 N5129 N5200 N5411 N5440 N5855 N6373 N6427 N6700 N7710 N8257 N9328 N9583 N9639 N10817 N10984 N11628 N12111 N12328 N12591 N12614 N12646 N12744 N12939 N14008 N14476 N14683 N15297 N15628 N15886 N16107 N16315 N16351 N16517 N16764 N16944 N17108 N17303 N17305 N17516 N17772 N18175 N18226 N19940 N20011 N20449 N20487 N20571 N21031 N21131 N21490 N21508 N22040 N22225 N24199 N24398 N24613 	N24763 N25858 N15167 N6040	1 1 0 0
197	N588 N5491 N6606 	N9179 N20451 N13837 N21554	1 1 0 0
198	N120 N143 N410 N1307 N1817 N2698 N4775 N5521 N7482 N8605 N11757 N13678 	N24013 N24648 N17823 N7787	1 1 0 0
199	N684 N1826 N2898 N3047 N3237 N4401 N4660 N5165 N14066 N14223 N19959 	N20769 N25601 N10977 N207	1 1 0 0
200	N271 N715 N849 N5240 N11136 N11154 N12305 N17487 N21368 N21739 	N22889 N23594 N23560 N15597	1 1 0 0
201	N6282 	N21431 N25418 N3154 N5943	1 1 0 0
202	N7390 N11953 	N13044 N19360 N9689 N6641	1 1 0 0
203	N8137 N9047 N16399 	N20146 N21079 N21460 N25238	1 1 0 0
